batch,step,bits,activation_mse
3,9,3,0.2868998236954212
3,9,4,0.0945896115154028
3,9,6,0.0049151694984175265
3,9,8,0.0002903647364291828
3,10,3,0.295385729521513
3,10,4,0.08836469613015652
3,10,6,0.004617467289790511
3,10,8,0.00027248703918303363
3,11,3,0.34977319464087486
3,11,4,0.08972987718880177
3,11,6,0.004750371095724404
3,11,8,0.00028300319536356255
3,12,3,0.273281367495656
3,12,4,0.08616943098604679
3,12,6,0.004669128684327006
3,12,8,0.00028019600358675234
4,1,3,0.24698860384523869
4,1,4,0.08292047120630741
4,1,6,0.004397938144393265
4,1,8,0.00026269119189237244
4,2,3,0.2837013639509678
4,2,4,0.0949987880885601
4,2,6,0.005144761817064136
4,2,8,0.0003122419184364844
4,3,3,0.2835875265300274
4,3,4,0.09325858764350414
4,3,6,0.005293724476359785
4,3,8,0.00031597763154422864
4,4,3,0.278528306633234
4,4,4,0.08993819914758205
4,4,6,0.005168280040379614
4,4,8,0.0003117511987511534
4,5,3,0.2925909161567688
4,5,4,0.09182608220726252
4,5,6,0.005248116445727646
4,5,8,0.00031220731398207135
4,6,3,0.2836257927119732
4,6,4,0.09025609027594328
4,6,6,0.004986583313439041
4,6,8,0.00029686089692404494
4,7,3,0.2710826192051172
4,7,4,0.08571694884449244
4,7,6,0.004981909063644707
4,7,8,0.0002928369394794572
4,8,3,0.2700268868356943
4,8,4,0.08631376270204782
4,8,6,0.004955917072948068
4,8,8,0.0002951009191747289
4,9,3,0.29536566510796547
4,9,4,0.08654358144849539
4,9,6,0.0047222457360476255
4,9,8,0.0002883329798351042
4,10,3,0.3018847815692425
4,10,4,0.08748926781117916
4,10,6,0.004501954361330718
4,10,8,0.0002656364631548058
4,11,3,0.33493202924728394
4,11,4,0.09585334919393063
4,11,6,0.004633531963918358
4,11,8,0.0002781523762678262
4,12,3,0.2734700683504343
4,12,4,0.08139271847903728
4,12,6,0.004565534123685211
4,12,8,0.00027401330589782447
5,1,3,0.24329155310988426
5,1,4,0.08637508284300566
5,1,6,0.004292111960239708
5,1,8,0.00025733228540048003
5,2,3,0.29234909638762474
5,2,4,0.09329840913414955
5,2,6,0.0053711854852736
5,2,8,0.0003168880029988941
5,3,3,0.29130545631051064
5,3,4,0.0941736176609993
5,3,6,0.005376779299695045
5,3,8,0.00031699597820988856
5,4,3,0.2785382866859436
5,4,4,0.10054278373718262
5,4,6,0.005513428011909127
5,4,8,0.00032735832428443246
5,5,3,0.2866696175187826
5,5,4,0.09878368861973286
5,5,6,0.005443495698273182
5,5,8,0.0003192136500729248
5,6,3,0.26816311478614807
5,6,4,0.09193925186991692
5,6,6,0.004964628315065056
5,6,8,0.0002989748172694817
5,7,3,0.2585309389978647
5,7,4,0.09315682388842106
5,7,6,0.00512358546257019
5,7,8,0.000298327886412153
5,8,3,0.27315192855894566
5,8,4,0.08986796997487545
5,8,6,0.005022051511332393
5,8,8,0.0002989378081110772
5,9,3,0.28291938081383705
5,9,4,0.09096152149140835
5,9,6,0.004946218279656023
5,9,8,0.0002941054517577868
5,10,3,0.29423142969608307
5,10,4,0.09105485491454601
5,10,6,0.004641939129214734
5,10,8,0.00027586289070313796
5,11,3,0.3378235846757889
5,11,4,0.09512950479984283
5,11,6,0.004913916811347008
5,11,8,0.0002898623170040082
5,12,3,0.24844021908938885
5,12,4,0.08622324839234352
5,12,6,0.004793739411979914
5,12,8,0.0002842436770151835
6,1,3,0.26336224749684334
6,1,4,0.08138716407120228
6,1,6,0.004216184432152659
6,1,8,0.0002505303382349666
6,2,3,0.3011045455932617
6,2,4,0.09382886439561844
6,2,6,0.0051518643158487976
6,2,8,0.0003012399647559505
6,3,3,0.3009655512869358
6,3,4,0.09606319107115269
6,3,6,0.005114321655128151
6,3,8,0.0003072230683756061
6,4,3,0.2931300438940525
6,4,4,0.0981727410107851
6,4,6,0.005275739647913724
6,4,8,0.00030638750104117207
6,5,3,0.29296306893229485
6,5,4,0.09602788183838129
6,5,6,0.005193324643187225
6,5,8,0.00030958747811382636
6,6,3,0.2827618345618248
6,6,4,0.09959843382239342
6,6,6,0.004917112062685192
6,6,8,0.0002895820034609642
6,7,3,0.28142065927386284
6,7,4,0.0877875154837966
6,7,6,0.004879114567302167
6,7,8,0.00028800704967579804
6,8,3,0.27561607398092747
6,8,4,0.09590724762529135
6,8,6,0.005002006073482335
6,8,8,0.00029396147874649614
6,9,3,0.281873170286417
6,9,4,0.09368783887475729
6,9,6,0.00475453317631036
6,9,8,0.00028656718131969683
6,10,3,0.30634843185544014
6,10,4,0.08776766806840897
6,10,6,0.004507825302425772
6,10,8,0.0002647961846378166
6,11,3,0.34108979254961014
6,11,4,0.09066889062523842
6,11,6,0.004700950055848807
6,11,8,0.0002794521424220875
6,12,3,0.26197087205946445
6,12,4,0.08656782656908035
6,12,6,0.004653231066185981
6,12,8,0.00028092584034311585
7,1,3,0.2538483589887619
7,1,4,0.08188350405544043
7,1,6,0.004273454600479454
7,1,8,0.00025270773767260835
7,2,3,0.28943120315670967
7,2,4,0.09262501634657383
7,2,6,0.005217593046836555
7,2,8,0.0003096293585258536
7,3,3,0.2915699630975723
7,3,4,0.09305611811578274
7,3,6,0.005125219118781388
7,3,8,0.00030819479798083194
7,4,3,0.2936480976641178
7,4,4,0.09186454303562641
7,4,6,0.005119164590723813
7,4,8,0.000306438647385221
7,5,3,0.29460590705275536
7,5,4,0.09451577719300985
7,5,6,0.005072429892607033
7,5,8,0.0003034470610145945
7,6,3,0.28130584955215454
7,6,4,0.08938350714743137
7,6,6,0.00486900785472244
7,6,8,0.0002907049565692432
7,7,3,0.2879591342061758
7,7,4,0.08780923299491405
7,7,6,0.004776202375069261
7,7,8,0.00028127291079727
7,8,3,0.29480842500925064
7,8,4,0.09234227985143661
7,8,6,0.004829571815207601
7,8,8,0.0002846980787580833
7,9,3,0.2959040366113186
7,9,4,0.09003562293946743
7,9,6,0.004846157506108284
7,9,8,0.00028501099586719647
7,10,3,0.3177563138306141
7,10,4,0.0906290877610445
7,10,6,0.004745331243611872
7,10,8,0.00028530650888569653
7,11,3,0.34859707951545715
7,11,4,0.09127218462526798
7,11,6,0.004763290286064148
7,11,8,0.0002811020749504678
7,12,3,0.2686037290841341
7,12,4,0.09416989609599113
7,12,6,0.00489581428701058
7,12,8,0.0002898326965805609
