method,step,bits,total_bit_budget,average_bit_width,predicted_gronwall_objective_p2,predicted_gronwall_objective_fitted_p
high_to_low_linear_budget6,10,4,72,6.0,3.380740024661848e+22,3.4081863643077085e+22
high_to_low_linear_budget6,11,4,72,6.0,3.380740024661848e+22,3.4081863643077085e+22
high_to_low_linear_budget6,12,4,72,6.0,3.380740024661848e+22,3.4081863643077085e+22
local_error_only_budget6,1,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,2,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,3,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,4,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,5,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,6,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,7,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,8,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,9,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,10,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,11,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
local_error_only_budget6,12,6,72,6.0,5.4091126476469324e+23,5.4944165344920904e+23
gronwall_weighted_budget6,1,8,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,2,8,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,3,8,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,4,8,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,5,8,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,6,8,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,7,4,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,8,4,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,9,4,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,10,4,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,11,4,72,6.0,3.380695404802628e+22,3.408141365873294e+22
gronwall_weighted_budget6,12,4,72,6.0,3.380695404802628e+22,3.408141365873294e+22
empirical_oracle_budget6,1,6,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,2,8,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,3,8,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,4,8,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,5,8,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,6,8,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,7,4,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,8,4,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,9,6,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,10,4,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,11,4,72,6.0,4.926596303252737e+23,5.007076239718333e+23
empirical_oracle_budget6,12,4,72,6.0,4.926596303252737e+23,5.007076239718333e+23
