method,seed,sample_index,masked_cross_entropy,masked_token_accuracy,sequence_reconstruction_accuracy,reference_token_agreement,kl_divergence_from_reference,final_logit_mse,predicted_gronwall_objective_p2,average_bit_width,total_bit_budget,theoretical_activation_memory_ratio,wall_clock_latency_seconds_per_sample,peak_memory_bytes_reference_only,actual_reference_dtype
unquantized_reference,11,29,1.3462961566063665,0.6774193548387096,0.0,1.0,2.4259450935548353e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,30,1.9917831025536983,0.4838709677419355,0.0,1.0,1.8326024855336836e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,31,2.699753822818879,0.1935483870967742,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,32,2.2988886458258473,0.3225806451612903,0.0,1.0,-1.80255982183641e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,33,2.802939776451357,0.25806451612903225,0.0,1.0,-1.922730476625504e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,34,2.5516709896825973,0.2903225806451613,0.0,1.0,-4.80682619156376e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,35,0.41385359425217877,0.8709677419354839,0.0,1.0,-4.80682619156376e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,36,1.5572184851813702,0.6451612903225806,0.0,1.0,1.9077091447768672e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,37,1.8584693264096015,0.4838709677419355,0.0,1.0,-3.7553329621591875e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,38,2.870137506915677,0.16129032258064516,0.0,1.0,9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,39,1.7122018786688005,0.5483870967741935,0.0,1.0,1.1265998886477563e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,40,1.4750475310269864,0.5483870967741935,0.0,1.0,3.7553329621591873e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,41,0.4829772741443688,0.9032258064516129,0.0,1.0,8.374392505614988e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,42,2.8518576775827715,0.2903225806451613,0.0,1.0,9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,43,2.3505511360783733,0.2903225806451613,0.0,1.0,1.982815804020051e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,44,0.10809225525947348,1.0,1.0,1.0,3.6802263029160036e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,45,2.302840204008164,0.41935483870967744,0.0,1.0,7.81109256129111e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,46,0.5129487730202175,0.9032258064516129,0.0,1.0,-2.163071786203692e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,47,1.9279119142841907,0.5161290322580645,0.0,1.0,-9.388332405397969e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,48,3.230334189630324,0.2903225806451613,0.0,1.0,-2.40341309578188e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,49,0.6062119349897388,0.8387096774193549,0.0,1.0,4.957039510050127e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,50,1.495405743739778,0.5483870967741935,0.0,1.0,1.562218512258222e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,51,1.701811570313669,0.5483870967741935,0.0,1.0,2.5536264142682473e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,52,2.292622470086621,0.41935483870967744,0.0,1.0,5.708106102481965e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,53,2.729053016631834,0.2903225806451613,0.0,1.0,4.80682619156376e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,54,1.3300257808258455,0.7419354838709677,0.0,1.0,6.834705991129721e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,55,3.085175898767287,0.1935483870967742,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,56,2.5714621851521153,0.22580645161290322,0.0,1.0,1.922730476625504e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,57,0.5317156789223513,0.8709677419354839,0.0,1.0,2.1367844554685778e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,58,0.06692090312079076,1.0,1.0,1.0,-9.095416434349552e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,59,2.7482972145080566,0.1935483870967742,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,60,4.49885763660554,0.0967741935483871,0.0,1.0,-3.00426636972735e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,61,1.9340328093497985,0.5161290322580645,0.0,1.0,-1.562218512258222e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,62,1.6358012766126664,0.5483870967741935,0.0,1.0,0.0,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,63,1.4025433677579127,0.7741935483870968,0.0,1.0,-1.562218512258222e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,64,1.2152945030360454,0.6774193548387096,0.0,1.0,-2.1518057873172145e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,65,2.593466066545056,0.25806451612903225,0.0,1.0,-6.0085327394547e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,66,0.953536008544747,0.7741935483870968,0.0,1.0,-2.5536264142682473e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,67,1.8114821499874514,0.4838709677419355,0.0,1.0,-4.656612873077393e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,68,3.101724778452227,0.16129032258064516,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,69,1.632880941514046,0.5483870967741935,0.0,1.0,-3.8154182895537345e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,70,1.606754998406095,0.5806451612903226,0.0,1.0,-6.0085327394547e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,71,2.6070772601712133,0.22580645161290322,0.0,1.0,1.922730476625504e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,72,1.3042105549886343,0.5806451612903226,0.0,1.0,7.961305879777478e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,73,1.3034454969869507,0.5806451612903226,0.0,1.0,-2.1330291225064187e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,74,0.017777102638877208,1.0,1.0,1.0,3.00426636972735e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,75,2.7964244196491856,0.22580645161290322,0.0,1.0,0.0,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,76,1.4513062228478733,0.6129032258064516,0.0,1.0,8.036412539020661e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,77,1.5326721647814396,0.5483870967741935,0.0,1.0,-3.244607679305538e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,78,2.6039421558380127,0.2903225806451613,0.0,1.0,0.0,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,79,0.8575842007994652,0.7741935483870968,0.0,1.0,-2.8540530512409826e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,80,1.6911202955450262,0.5161290322580645,0.0,1.0,-7.81109256129111e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,81,0.016979386384088184,1.0,1.0,1.0,-2.5724030790790436e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,82,0.4232149039425196,0.9032258064516129,0.0,1.0,-2.1931144499009657e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,83,2.3608005008389874,0.3870967741935484,0.0,1.0,-1.20170654789094e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,84,3.5512233395730295,0.1935483870967742,0.0,1.0,0.0,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,85,0.6570511408630879,0.8709677419354839,0.0,1.0,-2.3658597661602883e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,86,1.1914588592706188,0.6774193548387096,0.0,1.0,3.5375236503539546e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,87,1.9052092506279867,0.5161290322580645,0.0,1.0,4.085802262829196e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
