step,loss
1.0,5.609009265899658
2.0,4.850436210632324
3.0,4.458923816680908
4.0,4.259984970092773
5.0,4.189270496368408
6.0,4.029971599578857
7.0,4.019986629486084
8.0,3.9672679901123047
9.0,3.878740072250366
10.0,3.7673423290252686
11.0,3.727910041809082
12.0,3.647264003753662
13.0,3.575253963470459
14.0,3.5265731811523438
15.0,3.502685546875
16.0,3.4201860427856445
17.0,3.365330219268799
18.0,3.3352184295654297
19.0,3.3588004112243652
20.0,3.281270980834961
21.0,3.219592332839966
22.0,3.2000961303710938
23.0,3.1753125190734863
24.0,3.1732943058013916
25.0,3.1575427055358887
26.0,3.080422878265381
27.0,3.0952627658843994
28.0,3.093181848526001
29.0,3.08791184425354
30.0,3.0675926208496094
31.0,3.1038336753845215
32.0,3.000563859939575
33.0,3.0703513622283936
34.0,2.977541446685791
35.0,3.0612189769744873
36.0,3.1255898475646973
37.0,3.024662494659424
38.0,2.995980739593506
39.0,3.055633783340454
40.0,2.997305154800415
41.0,2.968183994293213
42.0,2.9423367977142334
43.0,2.9213247299194336
44.0,2.939669132232666
45.0,2.9027273654937744
46.0,2.891380786895752
47.0,2.9341137409210205
48.0,2.672006845474243
49.0,2.9168624877929688
50.0,2.6869444847106934
51.0,2.818786859512329
52.0,2.8302812576293945
53.0,2.7349853515625
54.0,2.7397491931915283
55.0,2.689675807952881
56.0,2.707015037536621
57.0,2.6817679405212402
58.0,2.70131254196167
59.0,2.688263416290283
60.0,2.704726219177246
61.0,2.650197744369507
62.0,2.614769697189331
63.0,2.4689223766326904
64.0,2.6014678478240967
65.0,2.6372060775756836
66.0,2.608151912689209
67.0,2.5575149059295654
68.0,2.532871723175049
69.0,2.6859512329101562
70.0,2.5716564655303955
71.0,2.3008832931518555
72.0,2.5759968757629395
73.0,2.437290668487549
74.0,2.4115548133850098
75.0,2.4539148807525635
76.0,2.484046220779419
77.0,2.432736873626709
78.0,2.5234313011169434
79.0,2.5540342330932617
80.0,2.5926547050476074
81.0,2.488497018814087
82.0,2.478583574295044
83.0,2.270975351333618
84.0,2.330859899520874
85.0,2.505176305770874
86.0,2.376710891723633
87.0,2.342494010925293
88.0,2.4213500022888184
89.0,2.5011324882507324
90.0,2.2297613620758057
91.0,2.241529703140259
92.0,2.5990395545959473
93.0,2.1855833530426025
94.0,2.30855655670166
95.0,2.235124349594116
96.0,2.545701742172241
97.0,2.4590046405792236
98.0,2.3398406505584717
99.0,2.208448886871338
100.0,2.503636360168457
101.0,2.5221450328826904
102.0,2.35455584526062
103.0,2.3870105743408203
104.0,2.401721954345703
105.0,2.5685694217681885
106.0,2.2321176528930664
107.0,2.087489366531372
108.0,2.45094895362854
109.0,2.2823474407196045
110.0,2.4116973876953125
111.0,2.2240002155303955
112.0,2.3682565689086914
113.0,2.3875324726104736
114.0,2.5229663848876953
115.0,2.1326849460601807
116.0,2.435098171234131
117.0,2.109828233718872
118.0,2.4409892559051514
119.0,2.5555388927459717
120.0,2.2457194328308105
121.0,2.543219804763794
122.0,2.3740272521972656
123.0,2.372123956680298
124.0,2.479182720184326
125.0,2.246004581451416
126.0,2.2898030281066895
127.0,2.1576790809631348
128.0,2.1493568420410156
129.0,2.245797634124756
130.0,1.9555476903915405
131.0,2.1563432216644287
132.0,2.626511573791504
133.0,2.4300336837768555
134.0,2.2172257900238037
135.0,2.320321559906006
136.0,2.618948221206665
137.0,2.181508779525757
138.0,2.3544061183929443
139.0,1.9942995309829712
140.0,2.03798770904541
141.0,2.4651217460632324
142.0,2.234590768814087
143.0,2.143752098083496
144.0,1.9173076152801514
145.0,2.0724377632141113
146.0,2.4444520473480225
147.0,2.0056519508361816
148.0,2.205615520477295
149.0,1.9625283479690552
150.0,2.1006038188934326
151.0,1.948320984840393
152.0,2.1853537559509277
153.0,2.178983688354492
154.0,2.5582339763641357
155.0,2.134732246398926
156.0,2.276326894760132
157.0,2.3331069946289062
158.0,2.3711581230163574
159.0,2.0836119651794434
160.0,2.29609751701355
161.0,2.2469873428344727
162.0,2.291126251220703
163.0,2.2864859104156494
164.0,2.497774362564087
165.0,2.2025041580200195
166.0,2.109772205352783
167.0,2.010615825653076
168.0,2.165872097015381
169.0,2.0957274436950684
170.0,2.1507184505462646
171.0,2.1026597023010254
172.0,1.8825876712799072
173.0,2.3014633655548096
174.0,2.0289218425750732
175.0,2.1284830570220947
176.0,2.049926996231079
177.0,2.3744659423828125
178.0,2.0879018306732178
179.0,2.2221527099609375
180.0,2.1664624214172363
181.0,2.4891650676727295
182.0,2.2579472064971924
183.0,2.583648204803467
184.0,2.036733627319336
185.0,2.028369426727295
186.0,2.148643732070923
187.0,1.9004676342010498
188.0,2.1812896728515625
189.0,1.9164772033691406
190.0,2.437791109085083
191.0,2.1225953102111816
192.0,1.9808505773544312
193.0,2.311081886291504
194.0,2.261157751083374
195.0,2.038896083831787
196.0,2.0919501781463623
197.0,2.091371536254883
198.0,2.130733013153076
199.0,1.9400875568389893
200.0,2.1673145294189453
201.0,1.8708831071853638
202.0,2.077226161956787
203.0,2.0483744144439697
204.0,2.315577745437622
205.0,2.09826922416687
206.0,1.9324220418930054
207.0,1.7099741697311401
208.0,2.099161148071289
209.0,2.383681535720825
210.0,2.2311997413635254
211.0,2.3340184688568115
212.0,2.0557641983032227
213.0,1.8826854228973389
214.0,2.0034472942352295
215.0,2.1457252502441406
216.0,2.2766835689544678
217.0,2.141134023666382
218.0,2.2851812839508057
219.0,2.0602240562438965
220.0,2.2403056621551514
221.0,2.1515021324157715
222.0,2.0184249877929688
223.0,2.257932186126709
224.0,2.01737380027771
225.0,2.0359296798706055
226.0,2.068946361541748
227.0,2.146791934967041
228.0,2.020975351333618
229.0,2.178438186645508
230.0,2.1272857189178467
231.0,1.840864658355713
232.0,2.0479061603546143
233.0,1.6655374765396118
234.0,2.125199317932129
235.0,2.5065903663635254
236.0,2.083899974822998
237.0,1.9638781547546387
238.0,1.8623837232589722
239.0,2.199131727218628
240.0,2.4164397716522217
241.0,2.187786102294922
242.0,2.1014959812164307
243.0,2.0745315551757812
244.0,2.3392539024353027
245.0,1.9646661281585693
246.0,2.2064523696899414
247.0,2.3556129932403564
248.0,2.117746591567993
249.0,2.091177463531494
250.0,1.9857332706451416
251.0,2.474766731262207
252.0,2.1761422157287598
253.0,2.0134189128875732
254.0,2.0644588470458984
255.0,2.078242540359497
256.0,2.307705879211426
257.0,1.9885936975479126
258.0,2.1089091300964355
259.0,2.1295974254608154
260.0,2.251521110534668
261.0,1.9967302083969116
262.0,1.921032428741455
263.0,2.0946238040924072
264.0,2.435805082321167
265.0,2.041677951812744
266.0,2.099034547805786
267.0,2.0957069396972656
268.0,2.3078629970550537
269.0,1.9756011962890625
270.0,1.9462167024612427
271.0,1.943212628364563
272.0,2.1639647483825684
273.0,2.1805477142333984
274.0,1.939283847808838
275.0,2.244187593460083
276.0,1.9394804239273071
277.0,2.1681125164031982
278.0,2.227813243865967
279.0,2.1274495124816895
280.0,2.2682812213897705
281.0,2.028125762939453
282.0,2.126729726791382
283.0,1.8528386354446411
284.0,1.9790431261062622
285.0,2.047489881515503
286.0,2.114396333694458
287.0,1.9411555528640747
288.0,1.8352851867675781
289.0,2.056910753250122
290.0,2.2080698013305664
291.0,2.063215970993042
292.0,2.1938118934631348
293.0,1.9749622344970703
294.0,2.1080503463745117
295.0,1.664920687675476
296.0,1.9234886169433594
297.0,1.9551047086715698
298.0,2.3442416191101074
299.0,1.9842569828033447
300.0,1.8321188688278198
301.0,2.127521276473999
302.0,1.8891327381134033
303.0,1.9278308153152466
304.0,2.0418872833251953
305.0,2.185344934463501
306.0,2.184340000152588
307.0,1.9385526180267334
308.0,2.0846478939056396
309.0,2.0908069610595703
310.0,2.298449754714966
311.0,2.336992025375366
312.0,2.0315492153167725
313.0,2.093635320663452
