step,C_theoretical_p2,C_fitted,p_fitted,r_squared,materially_differs_from_2
1,1.8408750295639038,3.215866900445894,2.145010693761069,0.9994592629148321,0.0
2,2.1189182698726654,4.472699180944874,2.181475567978405,0.9981009020790816,0.0
3,2.284421220421791,4.6312485351181465,2.173178842878881,0.9984402557967418,0.0
4,2.2059557735919952,4.568114227706728,2.1764427516605895,0.9981558244329194,0.0
5,2.515530839562416,4.748296678875027,2.1594239005655664,0.9990104638192815,0.0
6,2.115233287215233,4.261846744759815,2.167873283448392,0.9980888974876176,0.0
7,1.5014811046421528,2.8840740553954958,2.1579665618417505,0.998469146081785,0.0
8,1.8054598271846771,3.4021877718885367,2.155275314330089,0.9987383502687663,0.0
