step,L_mean,L_median,L_p95,num_estimates
1,0.12340008121563237,0.12340008121563237,0.12769277829969342,2
2,0.0940356096938471,0.0940356096938471,0.09747996731788368,2
3,0.08142336528311711,0.08142336528311711,0.08565086588139395,2
4,0.08363946579197146,0.08363946579197146,0.08430172635533645,2
5,0.08677082123353463,0.08677082123353463,0.08737782233818743,2
6,0.08906103391467587,0.08906103391467587,0.09023630377134079,2
7,0.133155858362832,0.133155858362832,0.14257386704135916,2
8,0.13020159087640595,0.13020159087640595,0.13686821183150022,2
