step,log_G,G,L_mean
1,-16.271239082464145,8.580066477997572e-08,0.12340008121563237
2,-13.907157340545648,9.124273778765075e-07,0.0940356096938471
3,-11.399064336173243,1.1205964954947595e-05,0.08142336528311711
4,-8.91782454473893,0.00013397939416326656,0.08363946579197146
5,-6.4733396700043775,0.0015440604601709934,0.08677082123353463
6,-4.054906300040819,0.017337104593354115,0.08906103391467587
7,-2.0386713305695205,0.13020159087640598,0.133155858362832
8,0.0,1.0,0.13020159087640595
