step,continuous_bits,clipped_continuous_bits,A_k
1,-0.12001321683493361,4.0,1.579483013134404e-07
2,1.6867794113722476,4.0,1.933359040914542e-06
3,3.5502364558954858,4.0,2.5599144138385204e-05
4,5.314860215030921,5.314860215030921,0.0002955526180968155
5,7.172912822954193,7.172912822954193,0.0038841317057090696
6,8.792420692235998,8.0,0.03667202073979474
7,9.999611554976887,8.0,0.1954952284952717
8,11.6031920643692,8.0,1.8054598271846771
